doors,persons,buying,maint,lug_boot,safety,class values
2,2,3.0,3.0,2.0,1.0,2.0
2,2,3.0,3.0,2.0,2.0,2.0
2,2,3.0,3.0,2.0,0.0,2.0
2,2,3.0,3.0,1.0,1.0,2.0
2,2,3.0,3.0,1.0,2.0,2.0
2,2,3.0,3.0,1.0,0.0,2.0
2,2,3.0,3.0,0.0,1.0,2.0
2,2,3.0,3.0,0.0,2.0,2.0
2,2,3.0,3.0,0.0,0.0,2.0
2,4,3.0,3.0,2.0,1.0,2.0
2,4,3.0,3.0,2.0,2.0,2.0
2,4,3.0,3.0,2.0,0.0,2.0
2,4,3.0,3.0,1.0,1.0,2.0
2,4,3.0,3.0,1.0,2.0,2.0
2,4,3.0,3.0,1.0,0.0,2.0
2,4,3.0,3.0,0.0,1.0,2.0
2,4,3.0,3.0,0.0,2.0,2.0
2,4,3.0,3.0,0.0,0.0,2.0
2,6,3.0,3.0,2.0,1.0,2.0
2,6,3.0,3.0,2.0,2.0,2.0
2,6,3.0,3.0,2.0,0.0,2.0
2,6,3.0,3.0,1.0,1.0,2.0
2,6,3.0,3.0,1.0,2.0,2.0
2,6,3.0,3.0,1.0,0.0,2.0
2,6,3.0,3.0,0.0,1.0,2.0
2,6,3.0,3.0,0.0,2.0,2.0
2,6,3.0,3.0,0.0,0.0,2.0
3,2,3.0,3.0,2.0,1.0,2.0
3,2,3.0,3.0,2.0,2.0,2.0
3,2,3.0,3.0,2.0,0.0,2.0
3,2,3.0,3.0,1.0,1.0,2.0
3,2,3.0,3.0,1.0,2.0,2.0
3,2,3.0,3.0,1.0,0.0,2.0
3,2,3.0,3.0,0.0,1.0,2.0
3,2,3.0,3.0,0.0,2.0,2.0
3,2,3.0,3.0,0.0,0.0,2.0
3,4,3.0,3.0,2.0,1.0,2.0
3,4,3.0,3.0,2.0,2.0,2.0
3,4,3.0,3.0,2.0,0.0,2.0
3,4,3.0,3.0,1.0,1.0,2.0
3,4,3.0,3.0,1.0,2.0,2.0
3,4,3.0,3.0,1.0,0.0,2.0
3,4,3.0,3.0,0.0,1.0,2.0
3,4,3.0,3.0,0.0,2.0,2.0
3,4,3.0,3.0,0.0,0.0,2.0
3,6,3.0,3.0,2.0,1.0,2.0
3,6,3.0,3.0,2.0,2.0,2.0
3,6,3.0,3.0,2.0,0.0,2.0
3,6,3.0,3.0,1.0,1.0,2.0
